hemp	hmp	ሀምፕ
converter	qjr	ቀያሪ
prisoner	qjd	ቀያዲ
restriction	qjd	ቀያዲ
red	qjħ	ቀይሕ
detention	qjd	ቀይዲ
pass	qdm	ቀደመ
advance	qdm	ቀደመ
past	qdm	ቀደም
tear	qdd	ቀደደ
pick	qdd	ቀደደ
cut	qdd	ቀደደ
rip	qdd	ቀደደ
saturday	qdm	ቀዳም
cutter	qdd	ቀዳዲ
loophole	qdd	ቀዳድ
slit	qdd	ቀዳድ
slot	qdd	ቀዳድ
puncture	qdd	ቀዳድ
trace	qdħ	ቀድሐ
tape	qdħ	ቀድሐ
pump	qdħ	ቀድሐ
method	qtʼʕ	ቀጥዒ
system	qtʼʕ	ቀጥዒ
way	qtʼʕ	ቀጥዒ
resume	qt͡sʼl	ቀጸለ
keep	qt͡sʼl	ቀጸለ
go	qt͡sʼl	ቀጸለ
thickness	qt͡sʼl	ቀጸላ
stratum	qt͡sʼl	ቀጸላ
plate	qt͡sʼl	ቀጸላ
slab	qt͡sʼl	ቀጸላ
glut	qt͡sʼt͡sʼ	ቀጸጸ
competition	qt͡sʼt͡sʼ	ቀጸጸ
barrage	qt͡sʼl	ቀጻሊ
constant	qt͡sʼl	ቀጻሊ
bailey	qt͡sʼr	ቀጽሪ
guard	qfr	ቀፊር
curry	qlw	ቁልዋ
belt	qlf	ቁልፊ
height	qmt	ቁመት
louse	qml	ቁማል
drop	qrb	ቁሩብ
little	qrb	ቁሩብ
bit	qrs	ቁራስ
pot	qrʕ	ቁራዕ
piece	qrt͡sʼ	ቁራጽ
chip	qrt͡sʼ	ቁራጽ
breakfast	qrs	ቁርሲ
sculpture	qrt͡sʼ	ቁርጺ
ulcer	qsl	ቁስሊ
pueblo	qʃt	ቁሸት
village	qʃt	ቁሸት
reel	qnn	ቁኒን
flea	qnt͡ʃʼ	ቁንጪ
exasperation	qtʼʕ	ቁጠዐ
ire	qtʼʕ	ቁጠዐ
rage	qtʼʕ	ቁጠዓ
bile	qtʼʕ	ቁጡዕ
thrift	qtʼb	ቁጣበ
allergy	qtʼʕ	ቁጥዐ
anger	qtʼʕ	ቁጥዐ
knot	qt͡sʼr	ቁጻር
figure	qt͡sʼr	ቁጽሪ
acrimony	qmt	ቂምታ
venom	qmt	ቂምታ
vocabulary	qlt	ቃላት
tussle	qls	ቃልሲ
combat	qls	ቃልሲ
war	qls	ቃልሲ
struggle	qls	ቃልሲ
glade	qlʕ	ቃልዕ
volition	qħt	ቃሕታ
fork	qrn	ቃራና
stretcher	qrz	ቃሬዛ
gnat	qrm	ቃርማ
hockey	qrs	ቃርሳ
cinnamon	qrf	ቃርፋ
clip	qqʰr	ቃቐረ
pitch	qnj	ቃነየ
pain	qnz	ቃንዛ
twinge	qnz	ቃንዛ
tambourine	qnd	ቃንዳ
coalition	qnd͡ʒ	ቃንጃ
crack	qʕt	ቃዕታ
click	qʕt	ቃዕታ
trigger	qʕt	ቃዕታ
lamb	qʕj	ቃዕያ
heath	qdr	ቃድራ
bell	qt͡ʃʼl	ቃጭል
strip	qt͡sʼʕ	ቃጽዖ
parcel	qt͡sʼʕ	ቃጽዖ
plot	qt͡sʼʕ	ቃጽዖ
acre	qt͡sʼʕ	ቃጽዖ
dalliance	qlt	ቅለት
ignominy	qlt	ቅለት
pittance	qlw	ቅሉው
punt	qlʕ	ቅላዕ
husk	qltʼ	ቅላጥ
flake	qltʼ	ቅላጥ
rind	qltʼ	ቅላጥ
shell	qltʼ	ቅላጥ
frying	qlw	ቅልዋ
reservation	qmtʼ	ቅሙጥ
reserve	qmtʼ	ቅሙጥ
stack	qmtʼ	ቅሚጦ
rick	qmtʼ	ቅሚጦ
haystack	qmtʼ	ቅሚጦ
taste	qms	ቅምሶ
sample	qms	ቅምሶ
offer	qrb	ቅረባ
standing	qrb	ቅሩ'ብ
content	qrb	ቅሩ'ብ
skin	qrf	ቅራፍ
hull	qrf	ቅራፍ
peel	qrf	ቅራፍ
scale	qrf	ቅራፍ
shell	qrf	ቅራፍ
breakfast	qrs	ቅርሲ
dollar	qrʃ	ቅርሺ
grouse	qrt	ቅርታ
polity	qrt͡sʼ	ቅርጺ
form	qrt͡sʼ	ቅርጺ
format	qrt͡sʼ	ቅርጺ
structure	qrt͡sʼ	ቅርጺ
profile	qrt͡sʼ	ቅርጺ
shape	qrt͡sʼ	ቅርጺ
configuration	qrt͡sʼ	ቅርጺ
constraint	qsb	ቅሱብ
husk	qqħ	ቅቃሕ
broth	qql	ቅቅል
audience	qbl	ቅበ'ላ
admittance	qbl	ቅበላ
reception	qbl	ቅበላ
admission	qbl	ቅበላ
receipt	qbl	ቅባለ
acceptance	qbl	ቅባለ
approval	qbl	ቅባለ
commendation	qbl	ቅብላ
ointment	qbʔ	ቅብኢ
rebate	qns	ቅነሳ
discount	qns	ቅነሳ
frank	qnʕ	ቅኑዕ
objective	qnʕ	ቅኑዕ
tone	qnt	ቅኒት
discount	qns	ቅናስ
allowance	qns	ቅናስ
band	qnt	ቅናት
belt	qnt	ቅናት
jaundice	qnʔ	ቅንኢ
constitution	qwm	ቅዋመ
recipe	qwm	ቅዋመ
formula	qwm	ቅዋመ
constitution	qwm	ቅዋም
shift	qjr	ቅየራ
conversion	qjr	ቅየራ
survey	qjs	ቅየሳ
flux	qjr	ቅያረ
mutation	qjr	ቅያር
variety	qjr	ቅያር
transformation	qjr	ቅያር
alternative	qjr	ቅያር
noble	qds	ቅዱስ
saint	qds	ቅዱስ
consultation	qds	ቅዱስ
facsimile	qdħ	ቅዳሕ
travesty	qdħ	ቅዳሕ
replica	qdħ	ቅዳሕ
echo	qdħ	ቅዳሕ
transcript	qdħ	ቅዳሕ
replication	qdħ	ቅዳሕ
edition	qdħ	ቅዳሕ
reproduction	qdħ	ቅዳሕ
copy	qdħ	ቅዳሕ
mass	qds	ቅዳሴ
liturgy	qds	ቅዳሴ
church	qds	ቅዳሴ
framework	qtʼʕ	ቅጥዒ
procedure	qtʼʕ	ቅጥዒ
format	qtʼʕ	ቅጥዒ
manner	qtʼʕ	ቅጥዒ
method	qtʼʕ	ቅጥዒ
decorum	qtʼʕ	ቅጥዒ
combustion	qt͡sʼl	ቅጸላ
good	qt͡sʼʕ	ቅጹዕ
prefix	qt͡sʼl	ቅጽል
belt	qlf	ቆለፈ
infant	qlʕ	ቆልዓ
child	qlʕ	ቆልዓ
louse	qml	ቆማል
gully	qrr	ቆረረ
glen	qrr	ቆረረ
freeze	qrr	ቆረረ
hack	qrt͡sʼ	ቆረጸ
partridge	qqʰħ	ቆቕሕ
partridge	qqʰʷħ	ቆቛሕ
cap	qbʕ	ቆቢዕ
hat	qbʕ	ቆቢዕ
hat	qbʕ	ቆብዕ
hood	qbʕ	ቆብዕ
turban	qbʕ	ቆብዕ
hairdresser	qnn	ቆናኒ
belle	qnd͡ʒ	ቆንጆ
hold	qt͡sʼr	ቆጸረ
date	qt͡sʼr	ቆጸራ
rick	qt͡sʼj	ቆጸየ
meter	qt͡sʼr	ቆጻሪ
counter	qt͡sʼr	ቆጻሪ
leaf	qt͡sʼl	ቆጽሊ
catch	qʷlb	ቈለበ
infant	qʷlʕ	ቈልዓ
child	qʷlʕ	ቈልዓ
kid	qʷlʕ	ቈልዓ
high	qʷmt	ቈማት
cut	qʷrt͡sʼ	ቈረጸ
excise	qʷrt͡sʼ	ቈረጸ
grave	qʷrt͡sʼ	ቈረጸ
chop	qʷrt͡sʼ	ቈረጸ
cold	qʷrr	ቈራሪ
cutter	qʷrt͡sʼ	ቈራጺ
militant	qʷrt͡sʼ	ቈራጽ
ulcer	qʷsl	ቈሰለ
cap	qʷbʕ	ቈብዕ
brawl	qʷjqʰʷ	ቈየቛ
squabble	qʷjqʷ	ቈይቊ
altercation	qʷjqʷ	ቈይቊ
economist	qʷtʼb	ቈጣቢ
account	qʷt͡sʼr	ቈጸረ
enumeration	qʷt͡sʼr	ቈጸራ
appointment	qʷt͡sʼr	ቈጸራ
engagement	qʷt͡sʼr	ቈጸራ
tryst	qʷt͡sʼr	ቈጸራ
count	qʷt͡sʼr	ቈጸራ
employer	qʷt͡sʼr	ቈጻሪ
quack	qʷqʰʷt	ቋቝታ
tongue	qʷnqʷ	ቋንቋ
idiom	qʷnqʷ	ቋንቋ
language	qʷnqʷ	ቋንቋ
hitch	qʷt͡sʼr	ቋጸረ
inch	qʷrb	ቍሩብ
modicum	qʷrb	ቍሩብ
sleeper	qʷrb	ቍሩብ
dissection	qʷrt͡sʼ	ቍራጽ
stub	qʷrt͡sʼ	ቍራጽ
shred	qʷrt͡sʼ	ቍራጽ
package	qʷtʼb	ቍጠባ
thrift	qʷtʼb	ቍጠባ
saving	qʷtʼb	ቍጠባ
economy	qʷtʼb	ቍጠባ
spleen	qʷtʼʕ	ቍጥዐ
rage	qʷtʼʕ	ቍጥዐ
ire	qʷtʼʕ	ቍጥዐ
population	qʷt͡sʼr	ቍጽሪ
number	qʷt͡sʼr	ቍጽሪ
accuracy	qʰnʕ	ቑኑዕ
acquittal	qʰnʕ	ቑኑዕ
alarm	qʰt͡ʃʼl	ቓጭል
children	qʰʷlʕ	ቘልዑ
language	qʰʷnqʰʷ	ቛንቛ
dummy	bhm	በሃም
hero	bhr	በሃር
fancy	bhɡ	በሃገ
aspirant	bhɡ	በሃጊ
revelation	bll	በለለ
cactus	bls	በለስ
ochre	blqʰ	በለቕ
wear	blj	በለየ
ballet	blj	በለየ
outreach	blt͡sʼ	በለጸ
wit	blħ	በሊሕ
sharp	blħ	በሊሕ
mouth	blʕ	በልዐ
fly	brr	በረረ
flight	brr	በረራ
flash	brqʰ	በረቐ
rise	brqʰ	በረቐ
wilderness	brx	በረኻ
freeze	brd	በረደ
ice	brd	በረድ
flier	brr	በራሪ
solvent	brz	በራዚ
shine	brh	በርሀ
glint	brh	በርሀ
flash	brq	በርቂ
cook	bsl	በሰለ
miser	bqqʰ	በቃቕ
reprisal	bqʰl	በቐል
mule	bqʰl	በቕሊ
fit	bqʰʕ	በቕዐ
malt	bqʰʷl	በቘለ
cue	btr	በትሪ
stick	btr	በትሪ
lift	bnn	በነነ
valve	bnn	በናኒ
cry	bxj	በኸየ
crier	bxj	በኻዪ
ferment	bxʷʕ	በዅዐ
festival	bʕl	በዓል
celebration	bʕl	በዓል
holiday	bʕl	በዓል
grotto	bʕt	በዓቲ
cave	bʕt	በዓቲ
den	bʕt	በዓቲ
weld	bjd	በየደ
swap	bdl	በደላ
barter	bdl	በደላ
crime	bdl	በደል
malpractice	bdl	በደል
smallpox	bdd	በዲዶ
foul	bdn	በዳን
dare	bdh	በድሀ
challenge	bdh	በድሀ
stench	bdn	በድኒ
sheep	bɡʕ	በጊዕ
sheep	bɡʕ	በግዕ
slash	btʼħ	በጥሐ
visitor	bt͡sʼħ	በጻሒ
arrival	bt͡sʼħ	በጻሒ
reach	bt͡sʼħ	በጽሐ
turn	bt͡sʼħ	በጽሐ
strike	bt͡sʼħ	በጽሐ
visit	bt͡sʼħ	በጽሐ
call	bt͡sʼħ	በጽሐ
adolescent	bt͡sʼħ	በጽሒ
sacrament	brk	ቡራኬ
benediction	brk	ቡራኬ
mail	bstʼ	ቡስጣ
envelope	bstʼ	ቡስጣ
dial	bsl	ቡሶላ
bushel	bʃl	ቡሸል
malt	bqʰl	ቡቕሊ
yeast	bqʰl	ቡቕሊ
vegetation	bqʰl	ቡቕሊ
brown	bnw	ቡናዊ
paste	bħqʰ	ቢሑቕ
dough	bħqʰ	ቢሑቕ
beer	brr	ቢርራ
beaver	bvr	ቢቨር
bridge	bnt	ቢንቶ
bikini	bkn	ቢኪኒ
saucer	bjt	ቢያቲ
culture	bhl	ባህሊ
tradition	bhl	ባህሊ
personality	bhr	ባህሪ
behaviour	bhr	ባህሪ
kidney	bhr	ባህሪ
propensity	bhr	ባህሪ
desire	bhɡ	ባህጊ
aspiration	bhɡ	ባህጊ
fancy	bhɡ	ባህጊ
balloon	bln	ባሉን
capsule	blq	ባሊቃ
marble	bln	ባሊና
trellis	blt	ባሌቲ
rescue	blh	ባልሀ
parasite	blʕ	ባልዕ
pest	blʕ	ባልዕ
draft	blj	ባልያ
luggage	bld͡ʒ	ባልጃ
valise	bld͡ʒ	ባልጃ
trunk	bld͡ʒ	ባልጃ
suitcase	bld͡ʒ	ባልጃ
whirlpool	bħr	ባሕሪ
shore	bħr	ባሕሪ
blue	bħr	ባሕሪ
sea	bħr	ባሕሪ
stretcher	brl	ባረላ
dig	brw	ባረወ
powder	brd	ባሩድ
booth	brk	ባራካ
eruption	brʕ	ባርዕ
combustion	brʕ	ባርዕ
inferno	brʕ	ባርዕ
conflagration	brʕ	ባርዕ
flame	brʕ	ባርዕ
fire	brʕ	ባርዕ
slave	brj	ባርያ
paste	bst	ባስታ
tub	bsk	ባስካ
railway	bbr	ባቡር
vestibule	bbr	ባቡር
battery	btr	ባተሪ
banana	bnn	ባናና
bank	bnk	ባንክ
counter	bnk	ባንኮ
banjo	bnd͡ʒ	ባንጆ
scrimmage	bʔs	ባእሲ
squabble	bʔs	ባእሲ
tussle	bʔs	ባእሲ
scuffle	bʔs	ባእሲ
account	bʔs	ባእሲ
element	bʔt	ባእታ
item	bʔt	ባእታ
spotlight	bwz	ባውዛ
self	bʕl	ባዕለ
ego	bʕl	ባዕሊ
self	bʕl	ባዕሊ
tartar	bʕk	ባዕኪ
alien	bʕd	ባዕዲ
outsider	bʕd	ባዕዲ
mercury	bzq	ባዚቃ
phonograph	bzq	ባዚቃ
boutique	bzr	ባዛር
bazaar	bzr	ባዛር
mercury	bzq	ባዜቃ
mare	bzr	ባዝራ
deck	bjt	ባይታ
ground	bjt	ባይታ
bed	bjt	ባይታ
bottom	bjt	ባይታ
floor	bjt	ባይታ
parliament	bjt	ባይቶ
forum	bjt	ባይቶ
assembly	bjt	ባይቶ
house	bjt	ባይቶ
shovel	bdl	ባዴላ
pan	bdl	ባዴላ
void	bdm	ባድም
waste	bdm	ባድም
vacuum	bdʃ	ባዶሽ
certificate	bd͡ʒl	ባጀላ
badger	bd͡ʒr	ባጀር
budget	bd͡ʒt	ባጀት
tram	bɡn	ባጎኒ
coach	bɡn	ባጎኒ
van	bɡn	ባጎኒ
wagon	bɡn	ባጎኒ
car	bɡn	ባጎኒ
truck	bɡn	ባጎኒ
pane	btr	ቤትሮ
bacon	bkn	ቤኮን
basil	bzl	ቤዚል
adage	bhl	ብሂል
tradition	bhl	ብሂል
axiom	bhl	ብሂል
dictum	bhl	ብሂል
imbecile	bhm	ብሃም
nation	bhr	ብሄር
allegation	bhl	ብህሎ
antique	blj	ብሉይ
classic	blt͡sʼ	ብሉጽ
prime	blt͡sʼ	ብሉጽ
superior	blt͡sʼ	ብሉጽ
crap	blʃ	ብላሽ
fudge	blʃ	ብላሽ
fiasco	blʃ	ብላሽ
punk	blʃ	ብላሽ
politic	blh	ብልሂ
tip	blħ	ብልሒ
apex	blħ	ብልሒ
spike	blħ	ብልሒ
acumen	blħ	ብልሒ
edge	blħ	ብልሒ
barb	blħ	ብልሒ
blade	blħ	ብልሒ
meal	blʕ	ብልዒ
food	blʕ	ብልዒ
excellence	blt͡ʃʼ	ብልጫ
vantage	blt͡ʃʼ	ብልጫ
prize	blt͡ʃʼ	ብልጫ
advantage	blt͡ʃʼ	ብልጫ
virtue	blt͡ʃʼ	ብልጫ
distinction	blt͡ʃʼ	ብልጫ
trophy	blt͡ʃʼ	ብልጫ
paste	bħqʰʷ	ብሒቝ
bravo	brv	ብረቭ
gun	brt	ብረት
metal	brt	ብረት
weapon	brt	ብረት
plain	brh	ብሩህ
liquid	brh	ብሩህ
patent	brh	ብሩህ
light	brh	ብሩህ
silver	brr	ብሩር
smith	brr	ብሩር
buttermilk	brħ	ብራሕ
canteen	brʃ	ብራሾ
vellum	brn	ብራና
beaker	brkʷ	ብራኳ
height	brx	ብራኸ
elevation	brx	ብራኸ
stubble	brq	ብርቂ
prodigy	brq	ብርቂ
knee	brk	ብርኪ
knuckle	brk	ብርኪ
quota	brk	ብርኪ
stubble	brʕ	ብርዒ
stylus	brʕ	ብርዒ
pen	brʕ	ብርዒ
mole	brt	ብሮት
puncture	bsʕ	ብሳዕ
seedling	bqʷl	ብቋል
tuft	bqʷl	ብቋል
tuft	bqʰl	ብቓል
diffusion	btn	ብታነ
dissemination	btn	ብታነ
dispersion	btn	ብታነ
disintegration	btn	ብታነ
oral	bʔf	ብኣፍ
resource	bʔl	ብእሊ
corruption	bkl	ብከላ
infection	bkl	ብከላ
pollution	bkl	ብካለ
contamination	bkl	ብካለ
beaker	bxr	ብኹራ
absentee	bxr	ብኹር
waste	bxn	ብኹን
lot	bzħ	ብዙሕ
great	bzħ	ብዙሕ
peck	bzħ	ብዙሕ
pot	bzħ	ብዙሕ
quantity	bzħ	ብዙሕ
bushel	bzħ	ብዙሕ
fund	bzħ	ብዙሕ
quantum	bzħ	ብዝሒ
circulation	bzħ	ብዝሒ
wealth	bzħ	ብዝሒ
measure	bzħ	ብዝሒ
exuberance	bzħ	ብዝሒ
amount	bzħ	ብዝሒ
amplitude	bzħ	ብዝሒ
quantity	bzħ	ብዝሒ
bulk	bzħ	ብዝሒ
dish	bjt	ብያቲ
saucer	bjt	ብያቲ
immunity	bjn	ብያነ
holding	bjn	ብይን
award	bjn	ብይን
challenge	bdh	ብድሆ
initiation	bɡs	ብገሳ
incision	btʼħ	ብጣሕ
pal	bt͡ʃʼj	ብጫይ
saint	bt͡sʼʔ	ብጹእ
companion	bt͡sʼj	ብጻይ
partner	bt͡sʼj	ብጻይ
mate	bt͡sʼj	ብጻይ
fellow	bt͡sʼj	ብጻይ
buddy	bt͡sʼj	ብጻይ
pal	bt͡sʼj	ብጻይ
visitation	bt͡sʼħ	ብጽሖ
visit	bt͡sʼħ	ብጽሖ
bolt	bln	ቦሎኒ
pan	bmt͡ʃ	ቦሚቸ
bomb	bmb	ቦምባ
shrapnel	bmb	ቦምባ
bomb	bmb	ቦምብ
thrall	brj	ቦራይ
accessory	brs	ቦርሳ
bag	brs	ቦርሳ
satchel	brs	ቦርሳ
portfolio	brs	ቦርሳ
bale	bnd	ቦንዳ
video	vdj	ቪድዮ
waltz	vls	ቫልስ
vanilla	vnl	ቫኒላ
volt	vlt	ቮልት
occupant	tħz	ተሓዚ
snake	tmn	ተመን
palm	tmr	ተምሪ
fail	trf	ተረፈ
lag	trf	ተረፈ
remainder	trf	ተረፍ
residue	trf	ተረፍ
surplus	trf	ተረፍ
balance	trf	ተረፍ
vestige	trf	ተረፍ
firm	trr	ተሪር
tough	trr	ተሪር
novelist	trx	ተራኺ
sequence	trt	ተርታ
queue	trt	ተርታ
series	trt	ተርታ
index	trt	ተርታ
column	trt	ተርታ
chain	trt	ተርታ
ninety	tsʕ	ተስዓ
bubble	tsf	ተስፋ
hope	tsf	ተስፋ
promise	tsf	ተስፋ
dare	tbʕ	ተብዐ
plait	ttʕ	ተትዐ
twist	tnɡ	ተነገ
tennis	tns	ተኒስ
tent	tnd	ተንዳ
substitute	tkʔ	ተከአ
evil	tkl	ተካል
discharge	tkʷs	ተኰሰ
shoot	tkʷs	ተኰሰ
marksman	tkʷs	ተኳሲ
pitch	txl	ተኸለ
institute	txl	ተኸለ
construct	txl	ተኸለ
wolf	txl	ተኹላ
fire	txs	ተኹሲ
plant	txl	ተኽሊ
dole	txʷb	ተዀበ
poke	txʷj	ተዀየ
wolf	txʷl	ተዅላ
shot	txʷs	ተዅሲ
luxury	tdl	ተድላ
skunk	tdɡ	ተድጊ
climb	tɡr	ተገረ
grime	tɡr	ተጎሮ
enemy	tt͡sʼj	ተጻይ
opposite	tt͡sʼj	ተጻይ
vomit	tfʔ	ተፍአ
tulip	tlp	ቱሊፕ
apple	tfh	ቱፉህ
apple	tfh	ቱፋህ
apple	tfħ	ቱፋሕ
timothy	tms	ቲሞሲ
ticket	tkt	ቲከት
low	tħt	ታሕቲ
bottom	tħt	ታሕቲ
occupancy	tħz	ታሕዚ
history	trx	ታረኸ
archives	trx	ታሪኽ
history	trx	ታሪኽ
carpet	tbt	ታቦት
bugle	ttl	ታቱላ
tattoo	ttl	ታቱላ
tin	tnk	ታኒካ
can	tnk	ታኒካ
tunic	tnk	ታንክ
tank	tnk	ታንክ
turret	tnk	ታንክ
turkey	tkn	ታኪን
taxi	tks	ታክሲ
cab	tks	ታክሲ
marsh	txl	ታኼላ
slough	txl	ታኼላ
morass	txl	ታኼላ
magnate	td͡ʒr	ታጂር
tent	tnd	ቴንዳ
low	tħt	ትሑት
sub	tħt	ትሕቲ
tenure	tħz	ትሕዞ
lien	tħd͡ʒ	ትሕጃ
pledge	tħd͡ʒ	ትሕጃ
security	tħd͡ʒ	ትሕጃ
bail	tħd͡ʒ	ትሕጃ
reversion	tħd͡ʒ	ትሕጃ
pawn	tħd͡ʒ	ትሕጃ
guarantee	tħd͡ʒ	ትሕጃ
collateral	tħd͡ʒ	ትሕጃ
anecdote	trt	ትረት
absentee	trf	ትሩፍ
survival	trf	ትራ'ፍ
tram	trm	ትራም
thrush	trʃ	ትራሽ
stub	trf	ትራፍ
trolley	trl	ትሮሊ
troy	trj	ትሮይ
rope	ttʕ	ትታዕ
plait	ttʕ	ትትዖ
wit	tkr	ትኩር
alert	tkr	ትኩር
moody	tkz	ትኩዝ
patch	tkb	ትካ'ብ
plant	tkl	ትካል
establishment	tkl	ትካል
institute	tkl	ትካል
institution	tkl	ትካል
displacement	tkʔ	ትካአ
substitution	tkʔ	ትካአ
spot	tkʷʕ	ትኳዕ
fixture	txl	ትኹል
bug	txʷn	ትዃን
tweed	twd	ትዊድ
vomit	tfʔ	ትፋእ
emission	tfʔ	ትፋእ
totem	ttm	ቶትም
arson	tks	ቶኮሰ
drink	t͡ʃnt͡ʃ	ቸንቸ
bandage	t͡ʃrt	ቺረቶ
movie	t͡ʃnm	ቺነማ
cinema	t͡ʃnm	ቺነማ
hemlock	t͡ʃkt	ቺኩታ
chart	t͡ʃrt	ቻርት
urine	t͡ʃnt	ችንቲ
copper	nhs	ነሃሲ
august	nħs	ነሓሰ
fate	nsb	ነሲብ
luck	nsb	ነሲብ
rave	nqw	ነቀወ
bellow	nqw	ነቀወ
extract	nqʰl	ነቐለ
stem	nqʰl	ነቐለ
review	nqʰf	ነቐፈ
hatch	nqʰħ	ነቑሐ
point	nqʰtʼ	ነቑጣ
flaw	nqʰʕ	ነቓዕ
crevice	nqʰʕ	ነቓዕ
chink	nqʰʕ	ነቓዕ
crack	nqʰʕ	ነቓዕ
fissure	nqʰʕ	ነቓዕ
crevasse	nqʰʕ	ነቓዕ
fracture	nqʰʕ	ነቓዕ
loophole	nqʰʕ	ነቓዕ
cleavage	nqʰʕ	ነቓዕ
cranny	nqʰʕ	ነቓዕ
rift	nqʰʕ	ነቓዕ
tough	nqʰt͡sʼ	ነቓጽ
reviewer	nqʰf	ነቓፊ
fracture	nqʰʕ	ነቕዐ
drought	nqʰt͡sʼ	ነቕጺ
ex	nbr	ነበር
nebula	nbl	ነቡላ
wine	nbt	ነቢት
prophet	nbj	ነቢይ
jury	nbr	ነባሮ
audience	nbr	ነባሮ
bay	nbħ	ነብሒ
tiger	nbr	ነብሪ
leopard	nbr	ነብሪ
body	nbs	ነብሲ
burst	ntɡʷ	ነተጐ
break	ntɡʷ	ነተጐ
pop	ntɡʷ	ነተጐ
stench	ntħ	ነቲሕ
blast	ntɡʷ	ነትጒ
explosion	ntɡʷ	ነትጒ
rock	nnw	ነነወ
shake	nnw	ነነወ
no	nnʔ	ነኖእ
praise	nʔd	ነኣደ
hole	nkʷl	ነኳል
hollow	nkʷl	ነኳል
bite	nxs	ነኸሰ
affect	nxʔ	ነኽአ
leak	nxʷl	ነዃል
hole	nxʷl	ነዃል
breach	nxʷl	ነዃል
cranny	nxʷl	ነዃል
puncture	nxʷl	ነዃል
vice	nwr	ነወሪ
vise	nwr	ነወሪ
poplar	nwħ	ነዊሕ
beam	nwt	ነዊት
taboo	nwr	ነውሪ
shame	nwr	ነውሪ
upheaval	nwt͡sʼ	ነውጺ
shock	nwt͡sʼ	ነውጺ
sniff	nʕqʰ	ነዓቐ
snub	nʕqʰ	ነዓቐ
ooze	nzʕ	ነዝዐ
secretion	nzʕ	ነዝዒ
build	ndqʰ	ነደቐ
construct	ndqʰ	ነደቐ
pauper	ndj	ነደየ
design	ndf	ነደፈ
plan	ndf	ነደፈ
trace	ndf	ነደፈ
outline	ndf	ነደፈ
bile	ndd	ነዳ'ድ
gas	ndd	ነዳዲ
fuel	ndd	ነዳዲ
coupon	ndd	ነዳዲ
designer	ndf	ነዳፊ
recoil	ndħ	ነድሐ
kick	ndħ	ነድሐ
rage	ndr	ነድሪ
ire	ndr	ነድሪ
inflammation	ndr	ነድሪ
bid	nɡr	ነገረ
lawsuit	nɡr	ነገር
matter	nɡr	ነገር
thing	nɡr	ነገር
object	nɡr	ነገር
stuff	nɡr	ነገር
unit	nɡr	ነገር
material	nɡr	ነገር
tribe	nɡd	ነገድ
informant	nɡr	ነጋሪ
herald	nɡr	ነጋሪ
commerce	nɡd	ነጋዶ
furrow	nɡħ	ነግሒ
rave	nɡd	ነጎደ
thunder	nɡd	ነጎዳ
thunder	nɡʷd	ነጐደ
thunder	nɡʷd	ነጐዳ
clap	nɡʷd	ነጐዳ
pan	nɡʷd	ነጓዲ
bounce	ntʼr	ነጠረ
spring	ntʼr	ነጠረ
jump	ntʼr	ነጠረ
drip	ntʼb	ነጠበ
hopper	ntʼr	ነጣሪ
grade	ntʼb	ነጥቢ
spot	ntʼb	ነጥቢ
point	ntʼb	ነጥቢ
score	ntʼb	ነጥቢ
dot	ntʼb	ነጥቢ
period	ntʼb	ነጥቢ
aim	nt͡sʼr	ነጸ'ረ
sheet	nt͡sʼl	ነጸላ
spotlight	nt͡sʼr	ነጸረ
discard	nt͡sʼɡ	ነጸገ
discount	nt͡sʼɡ	ነጸገ
sprinkle	nt͡sʼɡ	ነጸገ
snub	nt͡sʼɡ	ነጸገ
layer	nt͡sʼf	ነጸፈ
stratum	nt͡sʼf	ነጸፈ
marksman	nt͡sʼr	ነጻሪ
repellent	nt͡sʼɡ	ነጻጊ
fly	nfr	ነፈረ
escape	nfs	ነፈሰ
blow	nfs	ነፈሰ
sieve	nfj	ነፈየ
rob	nfɡ	ነፈገ
run	nft͡sʼ	ነፈጸ
mucous	nftʼ	ነፋጥ
blare	nfħ	ነፍሐ
blow	nfħ	ነፍሐ
gun	nfħ	ነፍሒ
soul	nfs	ነፍሲ
spirit	nfs	ነፍሲ
swoop	nqʰt	ኑቕታ
avowal	nzz	ኑዛዘ
condolence	nzz	ኑዛዜ
avowal	nzz	ኑዛዜ
medal	nʃn	ኒሻን
whine	nnt	ኒንታ
nickel	nkl	ኒኬል
neon	njn	ኒዮን
hike	nhr	ናህሪ
acceleration	nhr	ናህሪ
momentum	nhr	ናህሪ
roof	nħs	ናሕሲ
Nakfa	nqʰf	ናቕፋ
foster	nbj	ናበየ
provider	nbj	ናበይ
caretaker	nbj	ናበይ
life	nbr	ናብራ
environment	nbr	ናብራ
mine	ntj	ናተይ
commendation	nʔd	ናእዳ
eulogy	nʔd	ናእዳ
praise	nʔd	ናእዳ
equipment	nwt	ናውቲ
tackle	nwt	ናውቲ
turbulence	nʕb	ናዕቢ
unrest	nʕb	ናዕቢ
trouble	nʕb	ናዕቢ
violence	nʕb	ናዕቢ
revolution	nʕb	ናዕቢ
upheaval	nʕb	ናዕቢ
pandemonium	nʕw	ናዕዋ
baby	nt͡sʼl	ናጽላ
infant	nt͡sʼl	ናጽላ
chick	nt͡sʼl	ናጽላ
babe	nt͡sʼl	ናጽላ
miss	nfqʰ	ናፈቐ
diesel	nft	ናፍታ
bee	nhb	ንህቢ
us	nħn	ንሕና
